,name,pincode,cuisine,dietaryRestrictions,dishes,features,latitude,longitude,mealType,numberOfReviews,rankingDenominator,rankingPosition,rating,rawRanking,cuisine_category
3168,Toscano,560067,Italian        ,   ,                       ,                            ,12.989536,77.7281,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Italian
3169,Domino's Pizza,,Italian Pizza       ,   ,                       ,                            ,12.93801,77.56155,     ,7,5993.0,2588.0,3.5,3.032571316,Italian
3170,Baskin-Robbins,,        ,   ,Ice Cream                       ,                            ,12.9241,77.56408,     ,3,5993.0,2098.0,4.5,3.044523478,Generic
3171,KFC,560011,American Fast Food       ,   ,                       ,                            ,13.01081,77.69198,     ,4,5993.0,3003.0,4.0,3.025168657,American
3172,Howrah Bridge,560048,Seafood        ,   ,                       ,                            ,12.95584,77.7155,     ,6,5993.0,3897.0,3.5,3.014724255,Seafood
3173,Amber Rush,560025,Pub        ,   ,                       ,                            ,12.96838,77.60101,     ,3,5993.0,3117.0,3.5,3.023867846,Pub
3174,Beijing Bites,560100,Chinese Thai       ,   ,                       ,                            ,12.848735,77.6576,     ,6,5993.0,3635.0,3.0,3.018049479,Chinese
3175,Japan Travel Cafe Azuki,560025,        ,   ,                       ,                            ,13.02809,77.53775,Lunch Dinner    ,4,5993.0,5277.0,3.5,3.000228167,Generic
3176,Inchara Family Restaurant,560043,Chinese        ,   ,                       ,                            ,13.01532,77.66194,     ,6,5993.0,2825.0,3.5,3.027950764,Chinese
3177,BG's,560103,        ,   ,                       ,                            ,12.92437,77.6737,     ,5,5993.0,1712.0,4.5,3.057199001,Generic
3178,T-Time Lounge,560069,Chinese Cafe       ,   ,                       ,                            ,12.91889,77.59777,     ,1,5993.0,3989.0,4.0,3.013553143,Chinese
3179,Qwiky's Coffee,560095,Pub        ,   ,                       ,                            ,12.93916,77.62566,     ,1,76.0,69.0,4.0,3.010678053,Pub
3180,P.V.R. Bar and Restaurant,560068,        ,   ,                       ,                            ,12.8988,77.62658,     ,1,5993.0,5284.0,3.0,3.0,Generic
3181,Veruthe Oru Thattukada,560068,Indian Seafood       ,   ,                       ,                            ,12.85946,77.5684,Breakfast Lunch Dinner   ,2,5993.0,5671.0,3.5,2.987991333,Indian
3182,Chettinad Food Paradise,560037,Indian        ,   ,                       ,                            ,12.98377,77.6923,     ,3,5993.0,2409.0,4.5,3.036931276,Indian
3183,Kahani Taste Ki,560102,Asian        ,   ,                       ,                            ,12.97194,77.59369,     ,1,5993.0,5284.0,3.0,3.0,Asian
3184,Malabar Plaza,560068,        ,   ,                       ,                            ,12.90376,77.63114,     ,3,5993.0,2525.0,4.0,3.033841372,Generic
3185,Petoo,560071,Indian        ,Vegetarian Friendly   ,                       ,Delivery Takeout Reservations                          ,12.89139,77.60764,     ,27,5993.0,3599.0,3.0,3.018361807,Indian
3186,Mayu Restaurant,560015,        ,   ,                       ,                            ,13.04851,77.52356,     ,5,5993.0,2303.0,4.0,3.039174557,Generic
3187,New Shanthi Sagar,560076,Cafe        ,Vegetarian Friendly   ,                       ,                            ,12.90869,77.61038,     ,1,5993.0,3447.0,5.0,3.020085573,Cafe
3188,Curries & Pickles,,        ,   ,                       ,                            ,12.95245,77.70054,     ,4,5993.0,1940.0,4.5,3.049134731,Generic
3189,Bold,560037,        ,   ,                       ,                            ,12.951708,77.6995,     ,6,5993.0,5184.0,3.0,3.006237745,Generic
3190,Marination,560087,Chinese Indian Fusion      ,   ,                       ,Delivery Outdoor Seating Seating                          ,12.941377,77.69675,Lunch Dinner    ,1,5993.0,4410.0,4.0,3.010942936,Indian
3191,Sapthagiri's Naidu Eating Point,560032,        ,   ,                       ,                            ,12.99443,77.61666,Lunch     ,2,5993.0,2160.0,5.0,3.043005943,Generic
3192,Ambarsaria,560022,        ,   ,                       ,                            ,12.97063,77.51111,Lunch Dinner    ,2,5993.0,2468.0,5.0,3.035290956,Generic
3193,Kanti Sweets,560038,        ,   ,                       ,                            ,12.97826,77.63913,     ,9,5993.0,1474.0,4.0,3.069043159,Generic
3194,Sri Maruthi Stores,560027,        ,   ,                       ,                            ,12.90882,77.57287,     ,1,5993.0,4759.0,4.0,3.00927186,Generic
3195,Punjab-E-Xpress,560051,Chinese Indian       ,   ,                       ,                            ,12.98416,77.60715,     ,1,5993.0,4885.0,4.0,3.00876832,Indian
3196,Chowmein,560094,Chinese Indian Thai      ,   ,                       ,                            ,13.03636,77.56653,Lunch Dinner    ,6,5993.0,4288.0,3.0,3.011541605,Indian
3197,Dugout Sports Bar,560034,        ,   ,                       ,                            ,12.93327,77.61509,Lunch Dinner    ,4,5993.0,5661.0,3.0,2.993378162,Generic
3198,New Udupi Nalapaka,560004,Indian        ,   ,                       ,                            ,12.94037,77.57401,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
3199,Cafe Coffee Day,560097,        ,   ,                       ,                            ,12.91833,77.57364,     ,1,5993.0,4018.0,4.0,3.013359308,Generic
3200,Chandu Dhaba,560102,Chinese        ,   ,                       ,                            ,13.06133,77.58585,     ,2,5993.0,3176.0,4.5,3.02323842,Chinese
3201,Barbees Restaurant,560001,        ,   ,                       ,                            ,12.999805,77.71986,Lunch Dinner    ,2,5993.0,2486.0,5.0,3.034784555,Generic
3202,Portabella Restautrant,,European        ,   ,                       ,                            ,12.99668,77.5452,     ,5,5993.0,2879.0,4.0,3.026774168,European
3203,Sri Ganesh Bombay Vada Pav Corner,560020,Indian        ,   ,                       ,                            ,12.98512,77.57509,     ,2,5993.0,2840.0,4.5,3.027648211,Indian
3204,Funky Punjab,560078,Indian        ,   ,                       ,                            ,12.89927,77.59078,     ,8,5993.0,5222.0,3.5,3.003938198,Indian
3205,Gunpowder,560095,Asian        ,   ,                       ,                            ,12.93629,77.61678,     ,2,5993.0,4890.0,3.5,3.008743525,Asian
3206,Greasy Spoon,,American        ,   ,                       ,                            ,12.91749,77.61455,     ,3,5993.0,2512.0,4.5,3.03410697,American
3207,Paratha Point,,        ,   ,                       ,                            ,13.01912,77.70436,     ,2,5993.0,2543.0,5.0,3.033491373,Generic
3208,Chichabas Taj,560043,        ,   ,                       ,                            ,13.000359,77.617355,     ,3,5993.0,2795.0,4.0,3.02850771,Generic
3209,Blue Bell Sweets,560025,        ,   ,                       ,                            ,12.97623,77.60187,     ,2,5993.0,3091.0,4.5,3.024172544,Generic
3210,Parika Sea Food Multi Cuisine Fine Dine,560036,Seafood Asian       ,   ,                       ,Seating Table Service                           ,13.00198,77.69924,Dinner     ,11,5993.0,5778.0,3.0,2.932135105,Asian
3211,Cafe Coffee Day,560034,        ,   ,                       ,                            ,12.92669,77.63353,     ,6,5993.0,2192.0,4.0,3.042083979,Generic
3212,Shanthi Sagar Veg,560040,        ,   ,                       ,                            ,12.95624,77.69438,Breakfast Lunch Dinner   ,6,5993.0,2644.0,4.0,3.031514406,Generic
3213,Nando's Sarjapur Road,560035,European Grill Healthy Portuguese     ,   ,                       ,                            ,12.924198,77.62888,Lunch Dinner    ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,European
3214,California Burrito,560037,Mexican American Cafe      ,   ,                       ,                            ,12.94818,77.6796,     ,4,5993.0,2722.0,4.0,3.029990911,American
3215,Five Star Chicken,,Fast Food        ,   ,                       ,                            ,12.89489,77.59938,Lunch Dinner    ,4,5993.0,3100.0,4.0,3.02408123,Fast Food
3216,KFC,560098,American        ,   ,                       ,                            ,12.92091,77.66485,     ,6,5993.0,2701.0,3.5,3.030446768,American
3217,Au Bon Pain,560022,        ,   ,                       ,                            ,13.02152,77.54603,     ,3,5993.0,5164.0,3.5,3.006809235,Generic
3218,Malnad Spicy,560037,Indian Asian       ,   ,                       ,                            ,12.950656,77.69957,     ,1,5993.0,3423.0,4.0,3.020250559,Indian
3219,Green Chillies,560078,        ,   ,                       ,                            ,12.86932,77.58154,     ,1,5993.0,5284.0,3.0,3.0,Generic
3220,Zayakedar,560103,        ,   ,                       ,                            ,12.92194,77.6761,     ,5,5993.0,2250.0,4.0,3.040808916,Generic
3221,Shree Mithai,,        ,   ,                       ,                            ,12.90626,77.59003,     ,5,5993.0,2673.0,3.5,3.031119823,Generic
3222,Chai Point,,        ,   ,                       ,                            ,12.98392,77.72893,     ,4,5993.0,2146.0,4.0,3.043428421,Generic
3223,Parotta Kadai,560100,        ,   ,                       ,                            ,12.845661,77.65902,     ,1,5993.0,5284.0,3.0,3.0,Generic
3224,Ujjwala Bat & Restaurant,560058,Caribbean        ,   ,                       ,                            ,13.02993,77.5595,     ,2,5993.0,5284.0,3.0,3.0,Generic
3225,Eat Eroo,560056,Chinese        ,   ,                       ,                            ,12.95512,77.50186,     ,8,5993.0,2354.0,4.0,3.037889004,Chinese
3226,Calcutta Chats,560025,        ,   ,                       ,                            ,12.9682,77.60067,     ,5,5993.0,2272.0,4.0,3.040187836,Generic
3227,Ivory Spice,560066,Thai        ,   ,                       ,                            ,12.97755,77.73793,     ,1,5993.0,3852.0,5.0,3.015449286,Thai
3228,Nandhini Fine Family Dining,560010,Seafood        ,   ,                       ,                            ,12.91975,77.59439,     ,4,5993.0,2878.0,4.0,3.026782751,Seafood
3229,Elements Restaurant,560048,        ,   ,                       ,                            ,12.98416,77.53275,     ,5,5993.0,3566.0,3.5,3.018724203,Generic
3230,Sri Asha Fruit Juice Centre,560053,        ,   ,                       ,                            ,12.9712,77.57401,     ,3,5993.0,2191.0,4.5,3.042118788,Generic
3231,The Gobi Parota Express,560003,Chinese        ,   ,                       ,                            ,13.00569,77.57187,     ,1,5993.0,4519.0,4.0,3.010497332,Chinese
3232,Biryani Place,,        ,   ,                       ,                            ,13.03476,77.5681,     ,2,5993.0,1976.0,4.5,3.04797101,Generic
3233,Rayaan's Restaurant,560102,Chinese        ,   ,                       ,                            ,12.90726,77.63803,     ,4,5993.0,3044.0,4.0,3.024748087,Chinese
3234,Chefs Bank,560054,Chinese        ,   ,                       ,                            ,13.02328,77.5629,     ,3,5993.0,2662.0,4.0,3.03131628,Chinese
3235,Matka Pir's Chote Nawab,,Fast Food        ,   ,                       ,                            ,12.96627,77.71648,     ,1,5993.0,3825.0,5.0,3.015717983,Fast Food
3236,Kanti Sweets,560037,        ,   ,                       ,                            ,12.96743,77.71623,     ,2,5993.0,5037.0,3.5,3.007902384,Generic
3237,Srinidhi Sagar,560038,        ,   ,                       ,                            ,12.97815,77.63664,     ,5,5993.0,2085.0,4.0,3.04478097,Generic
3238,Mcdonald's,560038,American Fast Food       ,   ,                       ,                            ,12.99298,77.66053,     ,4,5993.0,3398.0,3.5,3.020517111,American
3239,Mars Chicken Delight,560034,Chinese        ,   ,                       ,                            ,12.92669,77.63353,     ,4,5993.0,2527.0,4.0,3.033805132,Chinese
3240,KC Das - Sweet Paradise,560038,        ,   ,                       ,                            ,13.02295,77.53417,     ,7,5993.0,2212.0,4.0,3.041551352,Generic
3241,Seasons Sea Food & Arabian Restaurant,560076,Chinese Asian Middle Eastern      ,Vegetarian Friendly Halal  ,                       ,Reservations Seating Table Service                          ,12.88919,77.60229,Lunch Dinner    ,11,5993.0,5741.0,3.0,2.943659782,Chinese
3242,Slv,,Indian        ,   ,                       ,                            ,12.87954,77.60573,     ,2,5993.0,5196.0,3.5,3.005845308,Indian
3243,The French Loaf,,French        ,   ,                       ,                            ,12.97815,77.63664,     ,1,5993.0,4192.0,4.0,3.012197733,French
3244,Fish Land,560032,        ,   ,                       ,                            ,13.02777,77.58598,Lunch Dinner    ,1,5993.0,3005.0,5.0,3.025129318,Generic
3245,Sree Krishna Sagar Greens,560029,Cafe        ,Vegetarian Friendly   ,                       ,                            ,12.91056,77.62691,     ,3,5993.0,3776.0,3.5,3.016247034,Cafe
3246,SLV Refreshments,560078,        ,   ,                       ,                            ,12.90133,77.56033,     ,2,5993.0,2749.0,4.5,3.029484987,Generic
3247,Madhushala,5600036,Chinese Indian International Contemporary NorthEastern Chinese    ,   ,                       ,                            ,12.97353,77.62281,     ,3,5993.0,3698.0,3.5,3.017260551,Indian
3248,Hind Ka Chulah,560076,Indian        ,   ,                       ,                            ,12.87555,77.59221,     ,7,5993.0,5873.0,2.5,2.87067771,Indian
3249,Sri Bhavani Bar & Restaurant,560099,        ,   ,                       ,                            ,12.97342,77.57283,     ,2,5993.0,2700.0,4.5,3.030463219,Generic
3250,Noodle Noodle,560102,Chinese        ,   ,                       ,                            ,12.92226,77.65152,     ,3,5993.0,3277.0,3.5,3.021927834,Chinese
3251,Shiva's Kabab Corner,560097,Chinese Indian Arabic      ,   ,                       ,                            ,13.06352,77.58549,     ,1,5993.0,4438.0,4.0,3.010789633,Indian
3252,Punjabi Mess,560078,Indian        ,   ,                       ,                            ,12.89948,77.58522,     ,3,5993.0,3737.0,4.5,3.01667738,Indian
3253,Cheta Sagar,560095,Indian        ,   ,                       ,                            ,12.93629,77.61678,     ,2,5993.0,3177.0,4.5,3.023236752,Indian
3254,Food Ras,560100,Chinese Japanese Indian European Thai    ,   ,                       ,                            ,12.841502,77.644966,     ,9,5993.0,5902.0,3.0,2.845546246,Indian
3255,Namdhari's Salad & Bar,560038,        ,   ,                       ,                            ,13.09957,77.57891,     ,2,5993.0,2619.0,4.5,3.032045841,Generic
3256,Cafe At Saanchi,560025,Middle Eastern Persian       ,   ,                       ,                            ,12.962484,77.588455,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Persian
3257,Baskin-Robbins,560011,        ,   ,Ice Cream                       ,                            ,12.93278,77.58614,     ,3,5993.0,3045.0,4.0,3.024687052,Generic
3258,Shanthi Sagar Restaurant,560094,Indian Cafe       ,   ,                       ,                            ,13.02725,77.57176,     ,4,5993.0,3658.0,3.5,3.017809629,Indian
3259,OJ Japanese Restaurant,560049,Japanese        ,   ,                       ,                            ,13.01949,77.70823,     ,2,5993.0,3206.0,4.5,3.022959948,Japanese
3260,Polar Bear,,        ,   ,                       ,                            ,12.98464,77.5371,     ,4,5993.0,3859.0,3.5,3.015333176,Generic
3261,Lakshmi Fast Food,560068,Fast Food        ,   ,                       ,                            ,12.92189,77.61909,     ,1,5993.0,4643.0,4.0,3.00987339,Fast Food
3262,Royal Lush,,Chinese        ,   ,                       ,Reservations                            ,12.910851,77.6848,Dinner     ,10,5993.0,3911.0,3.0,3.014590025,Chinese
3263,The French Loaf,560076,French        ,   ,                       ,                            ,12.91644,77.61408,     ,1,5993.0,4759.0,4.0,3.00927186,French
3264,Chaitanya Bar & Restaurant,560079,        ,   ,                       ,                            ,12.96294,77.64171,     ,2,5993.0,3336.0,4.0,3.021252155,Generic
3265,Barista Lavazza,560071,        ,   ,                       ,                            ,12.949098,77.64399,     ,3,5993.0,2971.0,4.0,3.025553465,Generic
3266,Shree Saraswathi Sweets Centre,560034,        ,   ,                       ,                            ,12.93546,77.61556,     ,3,5993.0,2622.0,4.0,3.032026291,Generic
3267,California Burrito,560076,Mexican        ,   ,                       ,                            ,12.88471,77.5965,     ,1,5993.0,4428.0,4.0,3.0108459,Mexican
3268,Chai Point,560008,        ,   ,                       ,                            ,12.97338,77.62846,     ,4,5993.0,2371.0,4.0,3.037488222,Generic
3269,Domino's Pizza,560066,Pizza        ,   ,                       ,                            ,12.97765,77.74307,     ,10,5993.0,5673.0,3.0,2.987143517,Pizza
3270,The French Loaf,,French        ,   ,                       ,                            ,12.91191,77.54834,     ,1,5993.0,3700.0,5.0,3.017221928,French
3271,The Panda House,560027,        ,   ,                       ,                            ,12.95963,77.58321,     ,1,5993.0,3328.0,5.0,3.021384239,Generic
3272,Santhanam Sweets & Savouries,560001,Japanese        ,   ,                       ,                            ,12.98357,77.60866,     ,1,5993.0,4052.0,4.0,3.013105154,Japanese
3273,Pop'Z Kitchen,560039,        ,   ,                       ,                            ,12.96657,77.6007,     ,3,5993.0,3141.0,4.0,3.023577452,Generic
3274,Cane & Corn Point,560095,        ,   ,                       ,                            ,12.91951,77.66766,     ,3,5993.0,2587.0,4.0,3.032575607,Generic
3275,Chai Chowk,560095,Chinese        ,   ,                       ,                            ,12.93981,77.61814,     ,3,5993.0,5161.0,3.5,3.006829262,Chinese
3276,Food Station,560003,Indian        ,   ,                       ,                            ,12.99866,77.56547,     ,2,5993.0,3066.0,4.5,3.024551392,Indian
3277,Pizza Hut,560024,Pizza        ,   ,                       ,                            ,13.04898,77.60156,     ,2,5993.0,3577.0,4.0,3.018629074,Pizza
3278,The Diner Restobar,560066,Italian American Indian Asian     ,   ,                       ,Delivery Takeout Reservations Outdoor Seating Buffet Private Dining Seating Parking Available Street Parking Television Highchairs Available Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Discover Accepts Credit Cards Sports bars       ,12.984328,77.73369,Lunch Dinner Late Night Drinks  ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
3279,Swaadam Veg,560068,Healthy        ,   ,                       ,                            ,12.92651,77.61688,     ,2,5993.0,3258.0,4.0,3.022170067,Healthy
3280,Amma's Pastries,560005,        ,   ,                       ,                            ,12.98743,77.61873,     ,3,5993.0,3432.0,3.5,3.020161629,Generic
3281,Grazers,560011,        ,   ,                       ,                            ,12.932826,77.58365,     ,1,5993.0,3043.0,5.0,3.024753809,Generic
3282,Ayodhya Aahar,560094,        ,   ,                       ,                            ,13.03065,77.57424,Breakfast Lunch Dinner   ,1,5993.0,4005.0,4.0,3.013473272,Generic
3283,Litti House,560037,Indian        ,   ,                       ,                            ,12.97043,77.71237,     ,1,5993.0,3586.0,5.0,3.018535614,Indian
3284,Sri Rajalakshmi Sweets,,Indian        ,   ,                       ,                            ,13.01397,77.68073,     ,1,5993.0,4108.0,4.0,3.012652874,Indian
3285,Chicken County,560009,Indian        ,   ,                       ,                            ,12.97546,77.57559,     ,1,5993.0,3514.0,4.0,3.019225597,Indian
3286,Prince Paradise Restaurant,560102,Italian Chinese Indian International     ,   ,                       ,                            ,12.90119,77.65527,Lunch Dinner    ,2,5993.0,3765.0,4.0,3.01643014,Indian
3287,Arunachala Ambur Briyani,,        ,   ,                       ,                            ,12.94966,77.70179,     ,3,5993.0,2548.0,4.0,3.033439398,Generic
3288,L.J. Iyengars Cakes 'N' Cookies,560010,        ,   ,                       ,                            ,12.99605,77.55371,     ,3,5993.0,2392.0,4.5,3.037200928,Generic
3289,Konark Family Restaurant,560076,Indian        ,   ,                       ,                            ,12.90731,77.60463,     ,1,5993.0,5788.0,2.0,2.929503202,Indian
3290,Papa John's Pizza,560086,Italian Pizza Fast Food      ,   ,                       ,                            ,12.99763,77.54759,Lunch Dinner    ,2,5993.0,4664.0,3.5,3.009762526,Italian
3291,Om Ganesh Fruit Juice Centre,560008,Indian        ,   ,                       ,                            ,12.97425,77.62397,     ,2,5993.0,2671.0,4.5,3.031124592,Indian
3292,Mast Kalandar,560076,        ,   ,                       ,                            ,12.88968,77.60087,     ,3,5993.0,2559.0,4.5,3.033248425,Generic
3293,Just Bake,560020,        ,   ,                       ,                            ,12.98835,77.57713,     ,3,5993.0,2896.0,4.0,3.026489019,Generic
3294,Delhi Walle,560066,Indian        ,   ,                       ,                            ,12.98425,77.74919,Lunch Dinner    ,9,5993.0,5113.0,3.0,3.00727725,Indian
3295,New Refreshment,560027,        ,   ,                       ,                            ,12.9833,77.5833,Breakfast Lunch Dinner   ,3,5993.0,2861.0,4.0,3.027122498,Generic
3296,Club 9,560001,Thai        ,   ,                       ,                            ,12.97505,77.59981,     ,1,5993.0,5284.0,3.0,3.0,Thai
3297,Sweet Chariot,560017,Cafe        ,   ,Cakes                       ,                            ,12.95973,77.64608,     ,4,5993.0,3711.0,3.5,3.017084122,Cafe
3298,F4U,560060,        ,   ,                       ,                            ,12.90971,77.47179,     ,3,5993.0,2857.0,4.0,3.02724719,Generic
3299,Navrang Kabab Korner,560010,        ,   ,                       ,                            ,12.98862,77.5593,     ,4,6520.0,3295.0,4.0,3.025699377,Generic
3300,Food and You,560095,        ,   ,                       ,                            ,12.93399,77.61646,     ,4,5993.0,2549.0,4.0,3.033443451,Generic
3301,Japan Travel Cafe Azuki,560025,        ,   ,                       ,                            ,12.96667,77.59898,Lunch Dinner    ,1,5993.0,2956.0,5.0,3.025769711,Generic
3302,McDonald's,560068,American        ,   ,                       ,                            ,12.87489,77.63536,     ,2,5993.0,3436.0,4.0,3.020154476,American
3303,Checkered Bar,560066,        ,   ,                       ,                            ,12.98965,77.71858,     ,4,5993.0,2830.0,4.0,3.027857542,Generic
3304,Goli Vada Pav No. 1,,Fast Food        ,   ,                       ,                            ,13.00518,77.70292,     ,6,5993.0,3559.0,3.5,3.018772125,Fast Food
3305,Paratha Plaza,560034,        ,   ,                       ,                            ,12.90924,77.63911,     ,8,5993.0,2770.0,3.5,3.029234171,Generic
3306,Chandu's Delux,,        ,   ,                       ,                            ,12.99923,77.57287,     ,3,5993.0,2996.0,4.0,3.025295019,Generic
3307,Chaiffee Cafe,560078,Indian        ,   ,                       ,                            ,13.047682,77.576164,     ,1,5993.0,3806.0,4.0,3.015974045,Indian
3308,Cheff Inn Regency Restaurant,560071,Indian        ,   ,                       ,                            ,12.95691,77.64148,     ,1,6520.0,4007.0,5.0,3.018188715,Indian
3309,Gurukrupa Darshani,560008,        ,   ,                       ,                            ,12.97465,77.6246,     ,4,6520.0,2752.0,4.0,3.035638094,Generic
3310,New Krishna Sagar,560038,        ,   ,                       ,                            ,13.01088,77.64293,     ,2,5993.0,2760.0,4.5,3.029376268,Generic
3311,Cafe Oz,,International        ,   ,                       ,                            ,13.06645,77.53234,Breakfast Lunch Dinner   ,3,5993.0,5678.0,3.5,2.985274315,International
3312,Shilpa Tiffin Center,,Seafood Fast Food       ,   ,                       ,                            ,13.10246,77.60483,     ,2,5993.0,3332.0,4.0,3.021290541,Fast Food
3313,Anmol Raj Thall,560052,        ,   ,                       ,                            ,12.99292,77.59112,     ,1,5993.0,3023.0,5.0,3.024954081,Generic
3314,Dynasty Family Restaurant,560009,Chinese        ,   ,                       ,                            ,12.95639,77.59233,     ,4,5993.0,2706.0,4.0,3.030335903,Chinese
3315,JamayCafe,560043,Cafe        ,   ,                       ,                            ,13.02857,77.65225,     ,1,5993.0,3595.0,5.0,3.018443346,Cafe
3316,Domino's Pizza,560023,Pizza        ,   ,                       ,                            ,12.94088,77.68622,     ,5,5993.0,3376.0,3.5,3.020737171,Pizza
3317,Hotel Janatha Veg Restaurant,560009,Cafe        ,Vegetarian Friendly   ,                       ,                            ,12.9833,77.5833,     ,2,5993.0,3313.0,4.0,3.021453381,Cafe
3318,Goli Vada Pav No. 1,560027,Fast Food        ,   ,                       ,                            ,12.94753,77.59741,     ,2,5993.0,3021.0,4.0,3.024974585,Fast Food
3319,Chaayos,560066,Indian        ,   ,                       ,                            ,12.98392,77.72893,Lunch Dinner    ,1,5993.0,4016.0,4.0,3.01337409,Indian
3320,Raichur Biryani House,560008,        ,   ,                       ,                            ,12.97402,77.62361,     ,4,5993.0,2844.0,4.0,3.027562857,Generic
3321,Hotel Gurudarshan Restaurant,560019,        ,   ,                       ,                            ,12.93974,77.5734,     ,1,5993.0,5284.0,3.0,3.0,Generic
3322,Bruhaniya Pure From Nature,560068,Fast Food        ,   ,                       ,                            ,12.90376,77.63114,     ,2,5993.0,2993.0,4.0,3.025329113,Fast Food
3323,Best Friends Fast Food & Snacks,,Fast Food        ,   ,                       ,                            ,12.94966,77.70179,     ,1,5993.0,3049.0,5.0,3.024676085,Fast Food
3324,Udipi Malini Grand,560001,Indian        ,   ,                       ,                            ,12.962484,77.588455,     ,1,5993.0,2235.0,5.0,3.041059494,Indian
3325,Five Star Cafe,560025,Fast Food        ,   ,                       ,                            ,12.97623,77.60187,     ,3,5993.0,3942.0,3.5,3.014021635,Fast Food
3326,Ambur Dum Birayan,560034,        ,   ,                       ,                            ,12.92923,77.63471,     ,4,5993.0,2458.0,4.0,3.035638809,Generic
3327,Cholas,560038,        ,   ,                       ,                            ,12.97815,77.63664,     ,2,5993.0,3742.0,4.0,3.016615391,Generic
3328,Kanti Sweets,560003,        ,   ,                       ,                            ,13.04015,77.59959,     ,5,5993.0,2761.0,4.0,3.029360533,Generic
3330,Blytons,560092,Bar Pub       ,   ,                       ,                            ,13.06352,77.58549,     ,8,5993.0,5852.0,3.5,2.892765522,Pub
3331,Creamist,560095,        ,   ,                       ,                            ,12.94011,77.62641,Lunch     ,2,5993.0,2798.0,4.5,3.028492689,Generic
3332,Beijing Bites,560102,Chinese Thai       ,   ,                       ,                            ,12.92113,77.66303,     ,7,5993.0,3597.0,3.5,3.018403053,Chinese
3333,KFC,,American        ,   ,                       ,                            ,12.98289,77.73364,     ,7,5993.0,3415.0,3.5,3.020338058,American
3334,Polar Bear Ice Cream,560076,        ,   ,                       ,                            ,12.91462,77.60317,Lunch Dinner    ,4,5993.0,2869.0,3.5,3.026885271,Generic
3335,Goli Vada Pav No. 1,560095,Cafe Fast Food       ,   ,                       ,                            ,12.93629,77.61678,     ,3,5993.0,2704.0,4.0,3.030362606,Fast Food
3336,Delhi Darbar,560093,Chinese        ,   ,                       ,                            ,12.9783,77.68194,     ,2,5993.0,2708.0,4.5,3.030289173,Chinese
3337,The Grill House,560016,        ,   ,                       ,                            ,13.04421,77.63999,     ,5,5993.0,2836.0,3.5,3.027793169,Generic
3338,Gramina Thindi,,        ,   ,                       ,                            ,12.9969,77.50749,     ,2,5993.0,2872.0,4.5,3.026823044,Generic
3339,H2O Marathahalli,560037,        ,   ,                       ,                            ,12.96941,77.70071,Lunch Dinner    ,1,5993.0,3587.0,5.0,3.018522263,Generic
3340,Udupi Krishna Vihar,560067,        ,   ,                       ,                            ,12.88585,77.60239,     ,4,5993.0,2530.0,4.5,3.03362608,Generic
3341,Jugni Kitchen & Bar Koramangala,560095,Indian        ,   ,                       ,Delivery Reservations Seating Parking Available Validated Parking Highchairs Available Serves Alcohol Wine and Beer Digital Payments Table Service Family style                  ,12.936392,77.62135,Lunch Dinner Drinks   ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Indian
3342,The Lounge,560025,International        ,   ,                       ,                            ,12.9682,77.60067,     ,2,5993.0,3462.0,4.0,3.019934654,International
3343,Auntie Fung's,560064,        ,   ,                       ,                            ,13.09768,77.59644,     ,1,5993.0,2999.0,5.0,3.025243759,Generic
3344,Shappu Curry's,560102,Asian Arabic       ,   ,                       ,                            ,12.962248,77.64468,     ,1,5993.0,5284.0,3.0,3.0,Asian
3345,CC Lounge,560034,Italian Chinese International      ,   ,                       ,                            ,12.92564,77.61758,     ,2,5993.0,2978.0,4.0,3.025460005,Chinese
3346,Cuppa Redefined - Ms Ramaiah,560054,American Pizza Cafe International     ,   ,                       ,                            ,13.030136,77.56332,Breakfast Lunch Dinner   ,0,5993.0,539.0,3.9422372227579556,3.225500584,American
3347,Kenzai,560094,Chinese Asian Korean      ,   ,                       ,                            ,13.027989,77.57294,Lunch Dinner    ,2,5993.0,5980.0,1.0,2.541817188,Chinese
3348,Wat Bar,560017,        ,   ,                       ,Reservations                            ,12.95953,77.65049,     ,7,5993.0,4044.0,3.0,3.013217688,Generic
3349,Pizza Hut,560066,Pizza        ,   ,                       ,                            ,12.98289,77.73364,     ,3,5993.0,3858.0,3.5,3.01535368,Pizza
3350,Janardhans,560001,        ,   ,                       ,                            ,12.98385,77.57826,     ,2,5993.0,2492.0,4.0,3.034582615,Generic
3351,Orange Peel,560001,French European Asian      ,   ,                       ,                            ,12.98287,77.60106,     ,1,5993.0,5225.0,4.0,3.003682852,Asian
3352,The Grill House Indiranagar,560008,Steakhouse        ,   ,                       ,                            ,12.972432,77.63734,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Steakhouse
